Waypoint,Latitude,Longitude,ELEV,ELEV+5,try
0,3.975068365899989,102.2769207824,113.41944885253906,123.41944885253906,123.41944885253906
1,3.9750691113,102.277145898,113.3034896850586,123.3034896850586,123.3034896850586
2,3.9750698567000113,102.27737101350002,106.67515563964844,116.67515563964844,116.67515563964844
3,3.975070601900004,102.2775961291,108.36614990234376,118.36614990234376,118.36614990234376
4,3.975071347199993,102.27782124469998,111.91862487792967,121.91862487792967,121.91862487792967
5,3.975072092299989,102.2780463602,107.8790283203125,117.8790283203125,117.8790283203125
6,3.97507283740001,102.2782714757,108.29801940917967,118.29801940917967,118.29801940917967
7,3.975073582400009,102.27849659130004,108.72804260253906,118.72804260253906,118.72804260253906
8,3.9750743274000087,102.2787217068,103.1846694946289,113.1846694946289,113.1846694946289
9,3.9750750723000112,102.2789468224,104.68584442138672,114.68584442138672,114.68584442138672
10,3.975075817199989,102.27917193790005,108.31612396240234,118.31612396240234,118.31612396240234
11,3.9750765618999977,102.27939705350002,108.17132568359376,118.17132568359376,118.17132568359376
12,3.975077306700004,102.279622169,112.28135681152344,122.28135681152344,122.28135681152344
13,3.975078051299991,102.27984728459998,106.1133041381836,116.1133041381836,116.1133041381836
14,3.975078795900004,102.28007240009995,104.41756439208984,114.41756439208984,114.41756439208984
15,3.975079540499991,102.2802975157,105.27041625976562,115.27041625976562,115.27041625976562
16,3.9750802849000095,102.2805226312,105.57183837890624,115.57183837890624,115.57183837890624
17,3.975081029400001,102.28074774680002,107.39613342285156,117.39613342285156,117.39613342285156
18,3.975081773699998,102.2809728623,107.6257781982422,117.6257781982422,117.6257781982422
19,3.975082517999996,102.28119797790004,111.49666595458984,121.49666595458984,121.49666595458984
20,3.975083262199997,102.28142309340002,118.43882751464844,128.43882751464844,128.43882751464844
21,3.975084006399997,102.281648209,128.8554229736328,138.8554229736328,138.8554229736328
22,3.975084750500001,102.28187332449998,139.07421875,149.07421875,149.07421875
23,3.975085494600005,102.2820984401,146.69601440429688,156.69601440429688,156.69601440429688
24,3.975086238499991,102.2823235557,140.22537231445312,150.22537231445312,150.22537231445312
25,3.975086982499998,102.2825486712,136.40234375,146.40234375,146.40234375
26,3.975087726300012,102.28277378680002,125.03162384033205,135.03162384033203,135.03162384033203
27,3.9750884701000007,102.2829989023,118.59783935546876,128.59783935546875,128.59783935546875
28,3.975089213899989,102.28322401789998,126.2763442993164,136.2763442993164,136.2763442993164
29,3.9750899575000105,102.2834491334,137.6885528564453,147.6885528564453,147.6885528564453
30,3.975090701100006,102.283674249,148.2616729736328,158.2616729736328,158.2616729736328
31,3.975091444700001,102.28389936459998,164.0435333251953,174.0435333251953,174.0435333251953
32,3.9750921882,102.28412448010002,178.0941162109375,188.0941162109375,188.0941162109375
33,3.975092931600002,102.2843495957,188.5164031982422,198.5164031982422,198.5164031982422
34,3.975093675000004,102.28457471119998,196.8752899169922,206.8752899169922,206.8752899169922
35,3.9750944183000096,102.2847998268,214.9040679931641,224.9040679931641,224.9040679931641
36,3.975095161499993,102.2850249424,223.6903381347656,233.6903381347656,233.6903381347656
37,3.975095904700002,102.28525005790004,238.5888671875,248.5888671875,248.5888671875
38,3.975096647799989,102.28547517350002,253.3289794921875,263.3289794921875,263.3289794921875
39,3.975097390900001,102.285700289,265.4918975830078,275.4918975830078,275.4918975830078
