Line,LONGITUDE,LATITUDE,ELEV,LABEL,KML_STYLE,ELEVATION,Elev_filtered
D0,100.6980931,14.2859485,26.7280006,1,style,26.728,24.3234157916414
D0,100.7003053,14.2877282,21.4400005,2,style,21.44,23.2485656923222
D0,100.7003042,14.2880015,21.5839996,3,style,21.584,22.3840312523003
D0,100.7000725,14.2880031,21.1520004,4,style,21.152,21.8062232305128
D0,100.6998408,14.2880048,21.5839996,5,style,21.584,21.4971704870301
D0,100.6996091,14.2880064,21.5839996,6,style,21.584,21.3834003042324
D0,100.6993774,14.2880081,21.5839996,7,style,21.584,21.3896682064525
D0,100.6991457,14.2880097,21.7280006,8,style,21.728,21.4587890528496
D0,100.698914,14.2880114,21.5839996,9,style,21.584,21.554363332868
D0,100.6986824,14.288013,21.5839996,10,style,21.584,21.6616717401066
D0,100.6984507,14.2880147,22.0160007,11,style,22.016,21.7711630660908
D0,100.698219,14.2880163,21.7280006,12,style,21.728,21.872682546356
D0,100.6979873,14.288018,22.0160007,13,style,22.016,21.9686919739239
D0,100.6977556,14.2880197,21.7280006,14,style,21.728,22.0568767213923
D0,100.6975239,14.2880213,22.4360008,15,style,22.436,22.1301833753016
D0,100.6972922,14.288023,22.3040009,16,style,22.304,22.165518818279
D0,100.6970605,14.2880246,22.448,17,style,22.448,22.157004448937
D0,100.6968288,14.2880263,21.9349995,18,style,21.935,22.1179406142656
D0,100.6965971,14.2880279,21.8530006,19,style,21.853,22.0802863741165
D0,100.6963654,14.2880296,22.0160007,20,style,22.016,22.0648665670064
D0,100.6961337,14.2880312,22.2240009,21,style,22.224,22.0734901534895
D0,100.695902,14.2880329,22.3339996,22,style,22.334,22.1034287141928
D0,100.6956703,14.2880345,21.7280006,23,style,21.728,22.1650162314908
D0,100.6954386,14.2880362,22.3040009,24,style,22.304,22.2791830003955
D0,100.6952069,14.2880378,21.8719997,25,style,21.872,22.4419813719096
D0,100.6949752,14.2880395,22.0779991,26,style,22.078,22.6343348702862
D0,100.694651,14.2880418,24.1760006,27,style,24.176,22.7903096304731
D0,100.6946499,14.2879061,23.1679993,28,style,23.168,22.820477946026
D0,100.6946483,14.2876803,23.0240002,29,style,23.024,22.7243112548638
D0,100.69488,14.2876786,21.7280006,30,style,21.728,22.5525387837482
D0,100.6951117,14.287677,22.7360001,31,style,22.736,22.3679187302868
D0,100.6953434,14.2876753,21.8719997,32,style,21.872,22.1893695400853
D0,100.6955751,14.2876737,22.0160007,33,style,22.016,22.0413166046659
D0,100.6958068,14.287672,21.7280006,34,style,21.728,21.9327400906297
D0,100.6960385,14.2876704,22.0160007,35,style,22.016,21.8622305637544
D0,100.6962702,14.2876687,21.7280006,36,style,21.728,21.816870130969
D0,100.6965019,14.2876671,21.8369999,37,style,21.837,21.789098691259
D0,100.6967336,14.2876654,21.8490009,38,style,21.849,21.7687926472948
D0,100.6969653,14.2876638,21.8509998,39,style,21.851,21.7488774426921
D0,100.697197,14.2876621,21.5839996,40,style,21.584,21.7301260756808
D0,100.6974287,14.2876605,21.7280006,41,style,21.728,21.7190210695954
D0,100.6976604,14.2876588,21.7280006,42,style,21.728,21.7141549008534
D0,100.6978921,14.2876571,21.5839996,43,style,21.584,21.7125139582903
D0,100.6981237,14.2876555,21.7110004,44,style,21.711,21.7100153868868
D0,100.6983554,14.2876538,21.8719997,45,style,21.872,21.6942558962752
D0,100.6985871,14.2876522,21.8719997,46,style,21.872,21.6537183393859
D0,100.6988188,14.2876505,21.5839996,47,style,21.584,21.5923896139596
D0,100.6990505,14.2876489,21.7280006,48,style,21.728,21.5316313032744
D0,100.6992822,14.2876472,21.0830002,49,style,21.083,21.4991565222998
D0,100.6995139,14.2876456,21.5839996,50,style,21.584,21.5286938635161
D0,100.6997456,14.2876439,21.5839996,51,style,21.584,21.630422731804
D0,100.6999773,14.2876423,21.5839996,52,style,21.584,21.8104999535744
D0,100.7003015,14.2876399,21.7280006,53,style,21.728,22.0691342761666
D0,100.7003005,14.2875042,21.7280006,54,style,21.728,22.384975166549
D0,100.7002986,14.2872784,21.8719997,55,style,21.872,22.6992052212764
D0,100.7000669,14.2872801,26.3360004,56,style,26.336,22.8897363675101
D0,100.6998352,14.2872817,22.8799992,57,style,22.88,22.8258216587584
D0,100.6996035,14.2872834,21.5839996,58,style,21.584,22.5935812760284
D0,100.6993718,14.2872851,22.0160007,59,style,22.016,22.323358662351
